Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34082,-,-,-,14.25,77.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,
2010,1,22,5,0,0,0,0,0,0,0,13,15.204122443207893,940.470703125,90.04733422449198,109.08827723736772,2.7219653129577637,N/A
2010,1,22,6,0,0,0,0,0,0,0,13,15.80957507661833,941.3704223632812,87.81576696242423,95.23349713917034,2.65097713470459,N/A
2010,1,22,7,0,63,202,93,58,256,95,14,18.410985457270783,942.5095825195312,80.05970909195325,81.65174920443762,2.295025587081909,N/A
2010,1,22,8,0,120,559,325,120,559,325,15,22.10024391360065,942.9891357421875,66.23891345950294,68.5281731575011,1.930838942527771,N/A
2010,1,22,9,0,155,708,549,155,708,549,15,25.040776540495983,943.0980224609375,54.20474945894185,56.197219658527374,1.742820143699646,N/A
2010,1,22,10,0,176,787,729,176,787,729,15,26.70276344974286,943.0482788085938,49.62180725792486,45.32415663513165,1.6087089776992798,N/A
2010,1,22,11,0,187,827,846,187,827,846,15,27.616932308752666,941.9093627929688,47.31786678173692,37.219988699902224,1.5270440578460693,N/A
2010,1,22,12,0,191,839,887,191,839,887,15,28.00608847850134,940.5037231445312,46.20544165722998,33.93691528998011,1.4398880004882812,N/A
2010,1,22,13,0,187,828,851,187,828,851,15,27.93732005979774,939.6405029296875,46.0505802508465,36.791441022787104,1.3298817873001099,N/A
2010,1,22,14,0,176,789,738,176,789,738,14,27.29354570900807,938.934814453125,46.90006919533589,44.619857855862534,1.266486644744873,N/A
2010,1,22,15,0,156,712,561,156,712,561,14,26.084464767901636,939.1343383789062,48.93494330367314,55.34736212186782,1.2761950492858887,N/A
2010,1,22,16,0,123,569,340,123,569,340,14,24.313650081563026,939.5305786132812,55.027876751560136,67.60289331018558,1.5098121166229248,N/A
2010,1,22,17,0,73,95,89,64,283,110,14,22.06916740745845,939.8812255859375,63.79666966972199,80.68652125533244,2.027297019958496,N/A
2010,1,22,18,0,0,0,0,0,0,0,14,21.050012314339995,940.9629516601562,65.95232463476559,94.24726764788288,2.5617895126342773,N/A
2010,1,22,19,0,0,0,0,0,0,0,14,20.23219687640733,941.7189331054688,68.13037910639646,108.09289589903224,2.9431231021881104,N/A
2010,1,22,20,0,0,0,0,0,0,0,14,19.512957057838207,941.7838134765625,71.30859485260514,122.1107043441022,3.1505537033081055,N/A
2010,1,22,21,0,0,0,0,0,0,0,14,18.759687027850248,941.7931518554688,74.91500711618345,136.21944996254143,3.237454891204834,N/A
2010,1,22,22,0,0,0,0,0,0,0,14,17.96193223410006,941.7611694335938,78.15378493984613,150.33026131213066,3.258125066757202,N/A
2010,1,22,23,0,0,0,0,0,0,0,13,17.191249055293213,941.7953491210938,81.41175292034589,164.2035602321057,3.254405975341797,N/A
2010,1,23,0,0,0,0,0,0,0,0,13,16.54543298639976,941.318359375,84.09141376032807,174.655323948158,3.211381196975708,N/A
2010,1,23,1,0,0,0,0,0,0,0,13,16.061238763242784,940.806640625,86.21290541343409,165.2079668384239,3.1363260746002197,N/A
2010,1,23,2,0,0,0,0,0,0,0,13,15.61321781610809,940.4577026367188,87.8089786803796,151.37881818324436,3.0299172401428223,N/A
2010,1,23,3,0,0,0,0,0,0,0,13,15.216624276370226,940.5609741210938,88.774186870621,137.26925119585496,2.9646263122558594,N/A
2010,1,23,4,0,0,0,0,0,0,0,13,14.87911312356647,941.0169067382812,89.8360389097271,123.15070775238688,2.955275535583496,N/A
2010,1,23,5,0,0,0,0,0,0,0,13,14.603091575369945,941.3721923828125,90.66943584707768,109.11491086298938,2.988858461380005,N/A
2010,1,23,6,0,0,0,0,0,0,0,13,15.262978956025222,941.9703979492188,87.70299326349904,95.24138488577024,2.9735982418060303,N/A
2010,1,23,7,0,63,202,93,58,255,95,14,17.895212397527075,942.8676147460938,79.26280453998267,81.63795030391105,2.604837656021118,N/A
2010,1,23,8,0,120,556,324,120,556,324,14,21.503642429078695,943.5966186523438,64.91775986173522,68.48746749281366,2.6811211109161377,N/A
2010,1,23,9,0,155,706,548,155,706,548,14,24.151346376033246,943.6328125,55.21934746629511,56.12118707113466,2.823241710662842,N/A
2010,1,23,10,0,176,785,729,176,785,729,14,25.910091772980593,943.0022583007812,50.97610019100733,45.20062826458342,2.6108598709106445,N/A
2010,1,23,11,0,187,825,846,187,825,846,15,26.986021714999538,942.181640625,48.92106399988106,37.03779379632281,2.277000904083252,N/A
2010,1,23,12,0,191,837,887,191,837,887,15,27.52158096846034,940.8322143554688,47.90874030742356,33.70638949259571,1.9257861375808716,N/A
2010,1,23,13,0,187,825,851,187,825,851,15,27.4924658484332,939.7472534179688,48.247162181220865,36.55450753723598,1.6378288269042969,N/A
2010,1,23,14,0,176,787,739,176,787,739,15,27.05999987439168,939.0598754882812,48.72562058979833,44.40781352712639,1.4980477094650269,N/A
2010,1,23,15,0,156,710,562,156,710,562,14,25.938139198437227,939.0510864257812,50.531120268039274,55.16568331677367,1.4979686737060547,N/A
2010,1,23,16,0,123,568,341,123,568,341,15,24.330502997144833,939.4071044921875,56.69866384365879,67.44775526188816,1.6278154850006104,N/A
2010,1,23,17,0,75,102,92,64,285,111,15,22.463340538781722,939.9221801757812,64.96286678848759,80.55346939626715,1.9340099096298218,N/A
2010,1,23,18,0,0,0,0,0,0,0,15,21.817654487980064,940.5223999023438,67.06101876155645,94.13305261640244,2.289527177810669,N/A
2010,1,23,19,0,0,0,0,0,0,0,15,21.382052093528273,941.4483642578125,67.5316745464616,107.99567956776039,2.5933878421783447,N/A
2010,1,23,20,0,0,0,0,0,0,0,14,20.675506020229705,941.50390625,69.84250646837233,122.03005166993297,2.91072416305542,N/A
2010,1,23,21,0,0,0,0,0,0,0,14,19.77616819546381,941.8421630859375,73.95149858295059,136.156901397609,3.164931297302246,N/A
2010,1,23,22,0,0,0,0,0,0,0,14,18.760052536847127,941.4591674804688,78.42138247350763,150.2918332160702,3.3443033695220947,N/A
2010,1,23,23,0,0,0,0,0,0,0,14,17.838939279706835,941.2894287109375,82.4802347577664,164.21380979711736,3.464413642883301,N/A
2010,1,24,0,0,0,0,0,0,0,0,14,17.027217324255787,940.7313232421875,86.36685955498085,174.88194114467603,3.4926390647888184,N/A
2010,1,24,1,0,0,0,0,0,0,0,14,16.33003628917635,939.9387817382812,90.01762226051999,165.33918598424333,3.4382636547088623,N/A
2010,1,24,2,0,0,0,0,0,0,0,14,15.762910442075963,939.5885620117188,93.09600855006093,151.4624308950119,3.2606914043426514,N/A
2010,1,24,3,0,0,0,0,0,0,0,14,15.24847053345087,939.8351440429688,95.75590642118134,137.3284276460408,3.0510413646698,N/A
2010,1,24,4,0,0,0,0,0,0,0,14,14.825161126478974,939.9693603515625,97.7648708050448,123.19102734714926,2.87294864654541,N/A
2010,1,24,5,0,0,0,0,0,0,0,14,14.46585003960405,940.4735107421875,99.15841001525612,109.1374446844499,2.79538893699646,N/A
2010,1,24,6,0,0,0,0,0,0,0,14,15.035377830199934,941.04833984375,94.63817012371182,95.24501154091877,2.787693738937378,N/A
2010,1,24,7,0,63,203,93,58,256,95,14,17.43644522298115,941.854736328125,84.80773697282447,81.6196865390952,2.369401693344116,N/A
